frame_id,timestamp_sec,left_shoulder_x,left_shoulder_y,left_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_visibility,right_elbow_x,right_elbow_y,right_elbow_visibility,right_wrist_x,right_wrist_y,right_wrist_visibility
0,0.28100000000267755,0.4070051312446594,0.6956115961074829,0.9931928515434265,0.4296242594718933,0.9587337970733643,0.765466034412384,0.25290825963020325,1.0353964567184448,0.4012363851070404,0.1940220594406128,0.7186318039894104,0.996855616569519,0.03815308213233948,0.83758544921875,0.8142973780632019,-0.12479033321142197,0.8249778151512146,0.7414509057998657
1,0.40600000000267755,0.40595850348472595,0.6956838369369507,0.9932180047035217,0.4309423565864563,0.9559789896011353,0.7590591311454773,0.24884569644927979,1.0341076850891113,0.3958553373813629,0.1940041184425354,0.7207558155059814,0.9966977834701538,0.025401761755347252,0.835490882396698,0.8072803020477295,-0.12368432432413101,0.8108541369438171,0.7312028408050537
2,0.4379999999946449,0.4049469530582428,0.6961092352867126,0.9932388663291931,0.4308875501155853,0.9529024958610535,0.7534937262535095,0.2480817586183548,1.0337491035461426,0.3924277126789093,0.19315937161445618,0.7238657474517822,0.996339738368988,0.019750062376260757,0.8342800140380859,0.7945501804351807,-0.11598265171051025,0.8106977939605713,0.7110932469367981
3,0.46899999999732245,0.4045063555240631,0.6970043182373047,0.9933773875236511,0.4310486912727356,0.9522455930709839,0.7473008632659912,0.24141757190227509,1.0330525636672974,0.3914570212364197,0.1914607584476471,0.7283205389976501,0.9961998462677002,0.014695452526211739,0.8351960778236389,0.7786992192268372,-0.1024981364607811,0.818069577217102,0.6908876895904541
4,0.4850000000005821,0.4042935371398926,0.6980347037315369,0.993025541305542,0.43167605996131897,0.9521929621696472,0.7392560839653015,0.23674993216991425,1.033257246017456,0.3889440894126892,0.18873685598373413,0.7319587469100952,0.9955896139144897,0.013836215250194073,0.8347072005271912,0.7622132897377014,-0.10988400876522064,0.8179503679275513,0.6738005876541138
5,0.5310000000026776,0.40424734354019165,0.6978732347488403,0.9930511116981506,0.43155422806739807,0.946052610874176,0.7348800897598267,0.2357882708311081,1.0339381694793701,0.3908674716949463,0.1872037798166275,0.7320142388343811,0.9952298402786255,0.011343060992658138,0.8341830372810364,0.7496424317359924,-0.11441062390804291,0.8205833435058594,0.6565426588058472
6,0.5779999999940628,0.4044207036495209,0.6974546313285828,0.9932555556297302,0.43050557374954224,0.9454562664031982,0.7319391965866089,0.2359834909439087,1.0348118543624878,0.3990746736526489,0.18761223554611206,0.7320616841316223,0.9949521422386169,0.011538535356521606,0.834186851978302,0.7291524410247803,-0.11545519530773163,0.8206871747970581,0.6412665247917175
7,0.6100000000005821,0.404496967792511,0.6974104642868042,0.993346631526947,0.43051677942276,0.945614218711853,0.7309288382530212,0.2359554022550583,1.0353144407272339,0.4047452509403229,0.1876908838748932,0.7323247194290161,0.9946045875549316,0.012821843847632408,0.8344116806983948,0.7178391814231873,-0.1170291155576706,0.8271377682685852,0.6252452731132507
8,0.625,0.4045078754425049,0.697430431842804,0.9934098124504089,0.4297262728214264,0.9472172856330872,0.7271454930305481,0.23461642861366272,1.0360323190689087,0.40393194556236267,0.18734803795814514,0.7329712510108948,0.9943182468414307,0.010926169343292713,0.8343641757965088,0.7083802223205566,-0.12306992709636688,0.8271215558052063,0.6087840795516968
9,0.6720000000059372,0.4045082628726959,0.6974195837974548,0.9935404658317566,0.43017929792404175,0.9475025534629822,0.7314950823783875,0.2348884642124176,1.0372874736785889,0.4137958884239197,0.1873716413974762,0.7328760623931885,0.994229257106781,0.01167307235300541,0.8339252471923828,0.7041733860969543,-0.12391774356365204,0.8270719647407532,0.6051069498062134
